Mean/Sum,Wavelength,Galaxy Name,Equation of Line of Best Fit,A,B
Mean,w1,NGC 300,y = -72.57076367983505 ln(x) - 89.52770745790203,-72.57076367983505,-89.52770745790203
Sum,w1,NGC 300,y = 1727195.7001041444 ln(x) + 7220975.852806687,1727195.7001041444,7220975.852806687
Mean,w1,M 99,y = -830.673569819612 ln(x) - 2649.691933896935,-830.673569819612,-2649.691933896935
Sum,w1,M 99,y = 417067.8406961744 ln(x) + 2530036.723578712,417067.8406961744,2530036.723578712
Mean,w1,NGC 3938,y = -366.1032790014134 ln(x) - 1155.652668224089,-366.1032790014134,-1155.652668224089
Sum,w1,NGC 3938,y = 185668.14200459133 ln(x) + 1097211.0369621774,185668.14200459133,1097211.0369621774
Mean,w1,NGC 3184,y = -217.97022984822303 ln(x) - 592.1706287527678,-217.97022984822303,-592.1706287527678
Sum,w1,NGC 3184,y = 342153.8840355997 ln(x) + 1809520.9066814922,342153.8840355997,1809520.9066814922
Mean,w1,M 100,y = -812.3220816121753 ln(x) - 2422.279222337786,-812.3220816121753,-2422.279222337786
Sum,w1,M 100,y = 594729.5190065757 ln(x) + 3311929.9668997508,594729.5190065757,3311929.9668997508
Mean,w1,M 74,y = -300.1959760828141 ln(x) - 767.2940481113176,-300.1959760828141,-767.2940481113176
Sum,w1,M 74,y = 611158.4074775905 ln(x) + 3186269.6245263508,611158.4074775905,3186269.6245263508
Mean,w1,NGC 1304,y = -423.00992769918946 ln(x) - 1877.117724786887,-423.00992769918946,-1877.117724786887
Sum,w1,NGC 1304,y = 16576.440107136346 ln(x) + 126771.79716208685,16576.440107136346,126771.79716208685
Mean,w1,NGC 3265,y = -1033.9675677101668 ln(x) - 4459.290070512027,-1033.9675677101668,-4459.290070512027
Sum,w1,NGC 3265,y = 51246.5967666485 ln(x) + 379152.4795931258,51246.5967666485,379152.4795931258
Mean,w1,NGC 855,y = -329.88282197250027 ln(x) - 1285.2728055646933,-329.88282197250027,-1285.2728055646933
Sum,w1,NGC 855,y = 25614.522160368484 ln(x) + 179763.5234562533,25614.522160368484,179763.5234562533
Mean,w1,NGC 1404,y = -1570.4912848253741 ln(x) - 4277.602001083776,-1570.4912848253741,-4277.602001083776
Sum,w1,NGC 1404,y = 1071198.272517765 ln(x) + 5604731.68612345,1071198.272517765,5604731.68612345
Mean,w1,NGC 584,y = -2118.6588982277945 ln(x) - 7891.4875576823115,-2118.6588982277945,-7891.4875576823115
Sum,w1,NGC 584,y = 201816.90724414925 ln(x) + 1431354.0639872677,201816.90724414925,1431354.0639872677
Mean,w1,NGC 5866,y = -2396.35069970473 ln(x) - 7840.758663659045,-2396.35069970473,-7840.758663659045
Sum,w1,NGC 5866,y = 391778.10468952975 ln(x) + 2479901.8554270943,391778.10468952975,2479901.8554270943
Mean,w3,NGC 300,y = -0.0005130692392449152 ln(x) - 0.0004736288011662982,-0.0005130692392449152,-0.0004736288011662982
Sum,w3,NGC 300,y = 15.366840137121848 ln(x) + 66.238011885268,15.366840137121848,66.238011885268
Mean,w3,M 99,y = -0.02512611123288513 ln(x) - 0.07409881006781671,-0.02512611123288513,-0.07409881006781671
Sum,w3,M 99,y = 23.894211738973393 ln(x) + 140.1434067191677,23.894211738973393,140.1434067191677
Mean,w3,NGC 3938,y = -0.004184428211990757 ln(x) - 0.010294946581780432,-0.004184428211990757,-0.010294946581780432
Sum,w3,NGC 3938,y = 6.044933415608933 ln(x) + 34.542880791128475,6.044933415608933,34.542880791128475
Mean,w3,NGC 3184,y = -0.0051757557364396 ln(x) - 0.014219353693925848,-0.0051757557364396,-0.014219353693925848
Sum,w3,NGC 3184,y = 8.703763508011642 ln(x) + 45.41410455734217,8.703763508011642,45.41410455734217
Mean,w3,M 100,y = -0.02936749380120256 ln(x) - 0.08825717984153499,-0.02936749380120256,-0.08825717984153499
